Age_Days,Employed_Days,Credit_Amount,Loan_Annuity,Child_Count,Score_Source,Client_Gender,Car_Owned,House_Own,Client_Education,Client_Income,Default
14570,5637,64016,3419,1,0.26396000839299033,Female,1,1,Graduate,26428,1
8160,1116,337166,16312,2,0.5028304530104319,Male,0,1,Secondary,17647,1
12690,2567,282034,4495,2,0.35911168506696667,Male,0,0,Graduate,78079,0
20718,3499,77938,18140,4,0.3779575210577564,Female,0,1,Post Graduate,95779,0
12491,492,224750,11716,3,0.5528665802732191,Male,1,1,Secondary,80314,1
19264,3306,430315,13442,1,0.7687191652821785,Male,0,0,Graduate,73153,1
18584,619,310710,19163,0,0.7206466511013994,Female,0,0,Post Graduate,90094,1
13034,3232,282320,13961,2,0.6136999713601676,Male,1,1,Post Graduate,63546,1
13565,3823,373864,11307,0,0.5775927349274269,Female,1,0,Secondary,62704,1
7766,6474,417658,7487,3,0.499114230264143,Male,1,0,Secondary,90919,1
20826,2380,237877,10664,2,0.8808969814929704,Female,0,0,Secondary,40033,1
11726,6193,183058,17360,0,0.5921347879639633,Male,0,0,Secondary,95075,0
12878,1546,126478,17642,4,0.3777764788185555,Female,0,0,Graduate,95625,1
21723,4958,455377,5075,0,0.36106355442802773,Male,1,1,Post Graduate,77737,1
18936,5787,463905,18502,4,0.6279471215425992,Female,0,1,Secondary,41000,0
18663,3563,177101,16285,1,0.5659792691176502,Male,1,1,Secondary,82113,0
18411,1605,406843,8631,3,0.20538846206829897,Male,0,1,Secondary,22629,1
15622,3752,241996,4017,0,0.7810457605370456,Male,0,1,Graduate,71525,1
8985,6415,411417,19042,2,0.6928856479627042,Female,0,0,Post Graduate,46426,0
8069,4675,255380,19181,3,0.6632805027746724,Female,0,1,Post Graduate,16922,1
17883,1890,282200,1784,0,0.24814646038836127,Male,0,1,Secondary,79822,0
21103,1275,113745,6691,2,0.453439095120744,Male,1,0,Post Graduate,79472,0
14249,6703,182283,16765,2,0.8547675825129504,Male,1,1,Graduate,96891,1
9733,2743,443445,4196,2,0.8038124689389545,Male,0,1,Post Graduate,71049,0
12611,5951,431116,10552,2,0.3998800565086734,Male,0,1,Secondary,17721,0
12351,7257,491758,9532,0,0.3099412188693971,Male,1,1,Post Graduate,50957,1
13720,2493,457561,17946,1,0.514361570018004,Male,0,0,Graduate,63159,1
8484,7160,151489,5746,4,0.44908126506736257,Male,1,0,Graduate,77714,0
11855,5451,81819,3999,4,0.6775584636941937,Male,0,0,Post Graduate,19747,0
10685,5258,97779,18577,4,0.8765043670590238,Male,0,0,Post Graduate,31318,0
19609,356,263493,12302,1,0.45410101498779304,Female,1,1,Secondary,36619,1
